extension name,identifier,url
Custom CSS and JS Loader,be5invis.vscode-custom-css,https://marketplace.visualstudio.com/items?itemName=be5invis.vscode-custom-css
Docs View,bierner.docs-view,https://marketplace.visualstudio.com/items?itemName=bierner.docs-view
GitHub Markdown Preview,bierner.github-markdown-preview,https://marketplace.visualstudio.com/items?itemName=bierner.github-markdown-preview
Markdown Checkboxes,bierner.markdown-checkbox,https://marketplace.visualstudio.com/items?itemName=bierner.markdown-checkbox
Markdown Emoji,bierner.markdown-emoji,https://marketplace.visualstudio.com/items?itemName=bierner.markdown-emoji
Markdown Footnotes,bierner.markdown-footnotes,https://marketplace.visualstudio.com/items?itemName=bierner.markdown-footnotes
Markdown Preview Mermaid Support,bierner.markdown-mermaid,https://marketplace.visualstudio.com/items?itemName=bierner.markdown-mermaid
Markdown Preview Github Styling,bierner.markdown-preview-github-styles,https://marketplace.visualstudio.com/items?itemName=bierner.markdown-preview-github-styles
Markdown yaml Preamble,bierner.markdown-yaml-preamble,https://marketplace.visualstudio.com/items?itemName=bierner.markdown-yaml-preamble
JetBrains Icon Theme,chadalen.vscode-jetbrains-icon-theme,https://marketplace.visualstudio.com/items?itemName=chadalen.vscode-jetbrains-icon-theme
Ruff,charliermarsh.ruff,https://marketplace.visualstudio.com/items?itemName=charliermarsh.ruff
markdownlint,davidanson.vscode-markdownlint,https://marketplace.visualstudio.com/items?itemName=davidanson.vscode-markdownlint
GitLens â Git supercharged,eamodio.gitlens,https://marketplace.visualstudio.com/items?itemName=eamodio.gitlens
Evidence,evidence.evidence-vscode,https://marketplace.visualstudio.com/items?itemName=evidence.evidence-vscode
DuckDB Driver for SQLTools,evidence.sqltools-duckdb-driver,https://marketplace.visualstudio.com/items?itemName=evidence.sqltools-duckdb-driver
GitHub Codespaces,github.codespaces,https://marketplace.visualstudio.com/items?itemName=github.codespaces
GitHub Copilot,github.copilot,https://marketplace.visualstudio.com/items?itemName=github.copilot
GitHub Copilot Chat,github.copilot-chat,https://marketplace.visualstudio.com/items?itemName=github.copilot-chat
GitHub Theme,github.github-vscode-theme,https://marketplace.visualstudio.com/items?itemName=github.github-vscode-theme
GitHub Repositories,github.remotehub,https://marketplace.visualstudio.com/items?itemName=github.remotehub
Go,golang.go,https://marketplace.visualstudio.com/items?itemName=golang.go
SVG,jock.svg,https://marketplace.visualstudio.com/items?itemName=jock.svg
JSON to CSV,khaeransori.json2csv,https://marketplace.visualstudio.com/items?itemName=khaeransori.json2csv
Rainbow CSV,mechatroner.rainbow-csv,https://marketplace.visualstudio.com/items?itemName=mechatroner.rainbow-csv
JSON,meezilla.json,https://marketplace.visualstudio.com/items?itemName=meezilla.json
Fluent Icons,miguelsolorio.fluent-icons,https://marketplace.visualstudio.com/items?itemName=miguelsolorio.fluent-icons
Black Formatter,ms-python.black-formatter,https://marketplace.visualstudio.com/items?itemName=ms-python.black-formatter
Python Debugger,ms-python.debugpy,https://marketplace.visualstudio.com/items?itemName=ms-python.debugpy
Python,ms-python.python,https://marketplace.visualstudio.com/items?itemName=ms-python.python
Pylance,ms-python.vscode-pylance,https://marketplace.visualstudio.com/items?itemName=ms-python.vscode-pylance
Data Wrangler,ms-toolsai.datawrangler,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.datawrangler
Jupyter,ms-toolsai.jupyter,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter
Jupyter Keymap,ms-toolsai.jupyter-keymap,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-keymap
Jupyter Notebook Renderers,ms-toolsai.jupyter-renderers,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-renderers
Python Data Science,ms-toolsai.python-ds-extension-pack,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.python-ds-extension-pack
Jupyter Cell Tags,ms-toolsai.vscode-jupyter-cell-tags,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.vscode-jupyter-cell-tags
Jupyter Slide Show,ms-toolsai.vscode-jupyter-slideshow,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.vscode-jupyter-slideshow
Dev Containers,ms-vscode-remote.remote-containers,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-containers
Remote - SSH,ms-vscode-remote.remote-ssh,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-ssh
Remote - SSH: Editing Configuration Files,ms-vscode-remote.remote-ssh-edit,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-ssh-edit
WSL,ms-vscode-remote.remote-wsl,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-wsl
Remote Development,ms-vscode-remote.vscode-remote-extensionpack,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.vscode-remote-extensionpack
